,Unnamed: 0,party,infants,water,budget,physician,salvador,religious,satellite,aid,missile,immigration,synfuels,education,superfund,crime,duty_free_exports,eaa_rsa
0,0,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
1,1,democrat,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0
2,2,democrat,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1
3,3,democrat,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1
4,4,democrat,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1
5,5,democrat,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1
6,6,republican,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1
7,7,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
8,8,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
9,9,republican,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0
10,10,republican,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1
11,11,democrat,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1
12,12,democrat,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1
13,13,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
14,14,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
15,15,democrat,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1
16,16,democrat,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1
17,17,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
18,18,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
19,19,democrat,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1
20,20,democrat,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1
21,21,democrat,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1
22,22,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
23,23,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
24,24,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
25,25,democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
26,26,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
27,27,republican,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1
28,28,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
29,29,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
30,30,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
31,31,democrat,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
32,32,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
33,33,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
34,34,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
35,35,republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
36,36,republican,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
37,37,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
38,38,democrat,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1
39,39,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
40,40,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
41,41,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
42,42,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
43,43,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
44,44,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
45,45,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
46,46,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
47,47,democrat,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1
48,48,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
49,49,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
50,50,republican,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1
51,51,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
52,52,republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
53,53,democrat,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1
54,54,republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
55,55,republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1
56,56,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
57,57,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
58,58,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
59,59,democrat,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1
60,60,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
61,61,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
62,62,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
63,63,democrat,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1
64,64,republican,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1
65,65,republican,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1
66,66,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
67,67,democrat,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1
68,68,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
69,69,democrat,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1
70,70,republican,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1
71,71,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
72,72,republican,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1
73,73,democrat,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1
74,74,democrat,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0
75,75,democrat,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1
76,76,democrat,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
77,77,democrat,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1
78,78,republican,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0
79,79,democrat,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1
80,80,democrat,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1
81,81,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
82,82,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
83,83,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
84,84,democrat,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1
85,85,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
86,86,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
87,87,democrat,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1
88,88,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
89,89,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
90,90,democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
91,91,democrat,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1
92,92,democrat,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1
93,93,democrat,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
94,94,democrat,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1
95,95,democrat,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1
96,96,democrat,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1
97,97,democrat,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1
98,98,republican,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0
99,99,democrat,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1
100,100,democrat,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1
101,101,democrat,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1
102,102,democrat,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0
