OrderID,Postal Code,Product Name,SalePrice
CA-2017-152156,42420,Bush Somerset Collection Bookcase,262.00$
CA-2017-152156,42420,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",732.00$
CA-2017-138688,90036,Self-Adhesive Address Labels for Typewriters by Universal,15.00$
US-2016-108966,33311,Bretford CR4500 Series Slim Rectangular Table,958.00$
US-2016-108966,33311,Eldon Fold 'N Roll Cart System,22.00$
CA-2015-115812,90032,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",49.00$
CA-2015-115812,90032,Newell 322,7.00$
CA-2015-115812,90032,Mitel 5320 IP Phone VoIP phone,907.00$
CA-2015-115812,90032,DXL Angle-View Binders with Locking Rings by Samsill,19.00$
CA-2015-115812,90032,Belkin F5C206VTEL 6 Outlet Surge,115.00$
CA-2015-115812,90032,Chromcraft Rectangular Conference Tables,1706.00$
CA-2015-115812,90032,Konftel 250 Conference phone - Charcoal black,911.00$
CA-2018-114412,28027,Xerox 1967,16.00$
CA-2017-161389,98103,Fellowes PB200 Plastic Comb Binding Machine,408.00$
US-2016-118983,76106,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",69.00$
US-2016-118983,76106,Storex DuraTech Recycled Plastic Frosted Binders,3.00$
CA-2015-105893,53711,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",666.00$
CA-2015-167164,84084,Fellowes Super Stor/Drawer,56.00$
CA-2015-143336,94109,Newell 341,9.00$
CA-2015-143336,94109,Cisco SPA 501G IP Phone,213.00$
CA-2015-143336,94109,"Wilson Jones Hanging View Binder, White, 1""",23.00$
CA-2017-137330,68025,Newell 318,19.00$
CA-2017-137330,68025,"Acco Six-Outlet Power Strip, 4' Cord Length",60.00$
US-2018-156909,19140,"Global Deluxe Stacking Chair, Gray",71.00$
CA-2016-106320,84057,Bretford CR4500 Series Slim Rectangular Table,1045.00$
CA-2017-121755,90049,Wilson Jones Active Use Binders,12.00$
CA-2017-121755,90049,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,91.00$
US-2016-150630,19140,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.00$
US-2016-150630,19140,Avery Recycled Flexi-View Covers for Binding Systems,10.00$
US-2016-150630,19140,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.00$
US-2016-150630,19140,Poly String Tie Envelopes,3.00$
US-2016-150630,19140,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.00$
US-2016-150630,19140,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",7.00$
US-2016-150630,19140,Lumber Crayons,16.00$
CA-2018-107727,77095,Easy-staple paper,29.00$
CA-2017-117590,75080,GE 30524EE4,1098.00$
CA-2017-117590,75080,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",191.00$
CA-2016-117415,77041,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.00$
CA-2016-117415,77041,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.00$
CA-2016-117415,77041,"Global Fabric Manager's Chair, Dark Gray",212.00$
CA-2016-117415,77041,Plantronics HL10 Handset Lifter,371.00$
CA-2018-120999,60540,Panasonic Kx-TS550,147.00$
CA-2017-101343,90049,"Eldon Base for stackable storage shelf, platinum",78.00$
CA-2018-139619,32935,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",96.00$
CA-2017-118255,55122,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",46.00$
