Stock Symbol,Company Name,Last Sale,Market Capitalization,IPO Year,Sector,Industry
DDD,3D Systems Corporation,14.48,1647165276,n/a,Technology,Computer Software: Prepackaged Software
MMM,3M Company,188.65,1.12737E+11,n/a,Health Care,Medical/Dental Instruments
WBAI,500.com Limited,13.96,579312875.7,2013,Consumer Services,Services-Misc. Amusement & Recreation
WUBA,58.com Inc.,36.11,5225238185,2013,Technology,"Computer Software: Programming, Data Processing"
AHC,A.H. Belo Corporation,6.2,134735089.2,n/a,Consumer Services,Newspapers/Magazines
ATEN,"A10 Networks, Inc.",8.72,595982195,2014,Technology,Computer Communications Equipment
AAC,"AAC Holdings, Inc.",8.08,191418722.9,2014,Health Care,Medical Specialities
AIR,AAR Corp.,33.01,1133040225,n/a,Capital Goods,Aerospace
AAN,"Aaron&#39;s,  Inc.",30.41,2207106133,n/a,Technology,Diversified Commercial Services
ABB,ABB Ltd,22.63,48398935676,n/a,Consumer Durables,Electrical Products
ABT,Abbott Laboratories,42.67,73733657421,n/a,Health Care,Major Pharmaceuticals
ABBV,AbbVie Inc.,64.13,1.02196E+11,2012,Health Care,Major Pharmaceuticals
ANF,Abercrombie & Fitch Company,10.82,735602904.4,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
GCH,"Aberdeen Greater China Fund, Inc.",10.55,93394107.1,1992,n/a,n/a
JEQ,"Aberdeen Japan Equity Fund, Inc. ",8,107592176,1992,n/a,n/a
SGF,"Aberdeen Singapore Fund, Inc.",10.76,81305658.88,1990,n/a,n/a
ABM,ABM Industries Incorporated,41.97,2336706653,n/a,Finance,Diversified Commercial Services
AKR,Acadia Realty Trust,31.21,2610069985,n/a,Consumer Services,Real Estate Investment Trusts
ACN,Accenture plc,114.86,73634672318,2001,Miscellaneous,Business Services
ACCO,Acco Brands Corporation,13.45,1472920260,n/a,Consumer Durables,Publishing
ATV,"Acorn International, Inc.",9.38,35893095.28,2007,Consumer Services,Other Specialty Stores
ATU,Actuant Corporation,25,1492071625,n/a,Technology,Industrial Machinery/Components
AYI,Acuity Brands Inc,172.72,7615654182,n/a,Consumer Durables,Building Products
GOLF,Acushnet Holdings Corp.,17.54,1305887677,2016,Consumer Non-Durables,Recreational Products/Toys
ADX,"Adams Diversified Equity Fund, Inc.",13.65,1357312648,n/a,n/a,n/a
PEO,"Adams Natural Resources Fund, Inc.",19.6,559683978,n/a,n/a,n/a
AGRO,Adecoagro S.A.,11.48,1394682550,2011,Consumer Non-Durables,Farming/Seeds/Milling
ADPT,Adeptus Health Inc.,2.33,49209667.57,2014,Health Care,Hospital/Nursing Management
ADNT,Adient plc,67.18,6294016540,2016,Capital Goods,Auto Parts:O.E.M.
AAP,Advance Auto Parts Inc,140.89,10400327492,n/a,Consumer Services,Other Specialty Stores
ADSW,"Advanced Disposal Services, Inc.",22.47,1983287676,2016,Public Utilities,Environmental Services
WMS,"Advanced Drainage Systems, Inc.",21.65,1193201365,2014,Capital Goods,Containers/Packaging
ASX,"Advanced Semiconductor Engineering, Inc.",6.25,9967579081,n/a,Technology,Semiconductors
APFH,"AdvancePierre Foods Holdings, Inc.",31.73,2479639848,2016,Consumer Non-Durables,Packaged Foods
ASIX,AdvanSix Inc.,25.24,769390061.8,2016,Basic Industries,Major Chemicals
AAV,Advantage Oil & Gas Ltd,6.55,1210904578,n/a,Energy,Oil & Gas Production
AVK,Advent Claymore Convertible Securities and Income Fund,15.39,362909697,2003,n/a,n/a
AGC,Advent Claymore Convertible Securities and Income Fund II,6.13,197366849.9,2007,n/a,n/a
LCM,Advent/Claymore Enhanced Growth & Income Fund,8.54,116169833.5,2005,n/a,n/a
ACM,AECOM,32.61,5064839009,2007,Consumer Services,Military/Government/Technical
ANW,Aegean Marine Petroleum Network Inc.,11.75,462994908.5,2006,Energy,Oil Refining/Marketing
AEB,Aegon NV,25.03,0,n/a,Finance,Life Insurance
AED,Aegon NV,26.15,0,n/a,Finance,Life Insurance
AEG,Aegon NV,4.83,10090712333,n/a,Finance,Life Insurance
AEH,Aegon NV,25.87,0,n/a,Finance,Life Insurance
AEK,Aegon NV,25.97,0,n/a,Finance,Life Insurance
AER,Aercap Holdings N.V.,43.03,7583915037,2006,Technology,Diversified Commercial Services
HIVE,"Aerohive Networks, Inc.",3.9,205805234.7,2014,Technology,EDP Services
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",21.2,1580776855,n/a,Capital Goods,Military/Government/Technical
AET,Aetna Inc.,128.63,42563667000,n/a,Health Care,Medical Specialities
AMG,"Affiliated Managers Group, Inc.",161.28,9128513641,n/a,Finance,Investment Managers
MGR,"Affiliated Managers Group, Inc.",25.71,0,2012,Finance,Investment Managers
AFL,Aflac Incorporated,73,29285936257,n/a,Finance,Accident &Health Insurance
AFSD,Aflac Incorporated,25.9,0,n/a,Finance,Accident &Health Insurance
