date,AAPL,GOOG,YHOO
2013-01-02,78.43,361.26,20.08
2013-01-03,77.44,361.47,19.78
2013-01-04,75.29,368.62,19.86
2013-01-07,74.8,367.01,19.4
2013-01-08,75.04,366.28,19.66
2013-01-09,73.87,368.69,19.33
2013-01-10,74.79,370.37,18.99
2013-01-11,74.33,369.62,19.29
2013-01-14,71.68,361.26,19.43
2013-01-15,69.42,362.1,19.52
2013-01-16,72.3,357.24,20.07
2013-01-17,71.81,355.3,20.13
2013-01-18,71.43,351.9,20.02
2013-01-22,72.11,351.08,19.9
2013-01-23,73.43,370.38,20.11
2013-01-24,64.36,376.54,20.44
2013-01-25,62.84,376.46,20.37
2013-01-28,64.26,374.99,20.31
2013-01-29,65.47,376.46,19.7
2013-01-30,65.26,376.54,20.12
2013-01-31,65.07,377.47,19.63
2013-02-01,64.8,387.4,19.76
2013-02-04,63.19,379.13,19.34
2013-02-05,65.41,382.49,19.66
2013-02-06,65.34,384.7,19.85
2013-02-07,66.89,386.59,20.32
2013-02-08,67.85,392.29,20.5
2013-02-11,68.56,390.82,20.9
2013-02-12,66.84,389.96,21.21
2013-02-13,66.72,391.04,21.15
2013-02-14,66.66,393.52,21.18
2013-02-15,65.74,396.05,21.02
2013-02-19,65.71,403.02,21.29
2013-02-20,64.12,395.83,20.92
2013-02-21,63.72,397.37,20.83
2013-02-22,64.4,399.46,21.22
2013-02-25,63.26,394.99,20.73
2013-02-26,64.14,394.67,20.76
2013-02-27,63.51,399.49,21.16
2013-02-28,63.06,400.2,21.3
2013-03-01,61.5,402.69,21.94
2013-03-04,60.01,410.34,22.7
2013-03-05,61.59,418.88,22.95
2013-03-06,60.81,415.27,22.8
2013-03-07,61.51,415.88,22.7
2013-03-08,61.67,415.34,22.9
2013-03-11,62.55,416.99,22.6
2013-03-12,61.2,413.39,22.4
2013-03-13,61.19,412.24,22.34
2013-03-14,61.79,410.36,22.43
2013-03-15,63.38,406.74,22.07
2013-03-18,65.1,403.49,22.01
2013-03-19,64.93,405.25,22.17
2013-03-20,64.58,406.95,22.1
2013-03-21,64.68,405.22,22.86
2013-03-22,65.99,404.75,23.26
2013-03-25,66.23,404.42,23.38
2013-03-26,65.88,405.8,23.59
2013-03-27,64.58,400.93,23.59
2013-03-28,63.24,396.7,23.53
2013-04-01,61.27,400.19,23.5
2013-04-02,61.4,406.11,23.78
2013-04-03,61.71,402.7,23.38
2013-04-04,61.1,397.14,23.52
2013-04-05,60.46,391.13,23.3
2013-04-08,60.89,387.04,23.48
2013-04-09,61.0,388.44,23.83
2013-04-10,62.24,394.69,24.2
2013-04-11,62.05,394.8,24.48
2013-04-12,61.4,394.63,24.69
2013-04-15,59.98,390.57,23.98
2013-04-16,60.89,396.29,23.79
2013-04-17,57.54,390.89,23.7
2013-04-18,56.01,382.57,23.26
2013-04-19,55.79,399.54,23.47
2013-04-22,56.95,399.66,23.95
2013-04-23,58.02,403.55,24.38
2013-04-24,57.92,406.32,24.75
2013-04-25,58.34,404.15,25.2
2013-04-26,59.6,400.31,24.68
2013-04-29,61.45,409.12,24.43
2013-04-30,63.25,411.87,24.73
2013-05-01,62.76,409.8,24.3
2013-05-02,63.65,414.39,24.97
2013-05-03,64.28,422.44,25.07
2013-05-06,65.82,430.34,25.17
2013-05-07,65.52,428.19,26.07
2013-05-08,66.26,436.38,26.41
2013-05-09,65.25,435.3,26.24
2013-05-10,64.71,439.67,26.83
2013-05-13,64.96,438.33,26.39
2013-05-14,63.41,443.11,26.64
2013-05-15,61.26,457.49,27.34
2013-05-16,62.08,451.48,26.58
2013-05-17,61.89,454.14,26.52
2013-05-20,63.28,453.81,26.58
2013-05-21,62.81,453.03,27.0
2013-05-22,63.05,444.27,26.54
