,From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Jury Points,Televote Points
0,Albania,Belgium,20,16,24,22,24,25,14,,
1,Albania,Czech Republic,21,15,25,23,16,22,22,,
2,Albania,The Netherlands,22,14,23,24,21,24,24,,
3,Albania,Azerbaijan,19,12,11,21,11,13,19,,
4,Albania,Hungary,8,13,9,14,9,10,10,1.0,1.0
5,Albania,Italy,4,10,3,7,2,3,2,8.0,10.0
6,Albania,Israel,10,2,18,4,12,8,17,3.0,
7,Albania,Bulgaria,11,3,6,13,6,7,3,4.0,8.0
8,Albania,Sweden,16,8,15,6,15,11,8,,3.0
9,Albania,Germany,18,17,20,11,17,18,15,,
10,Albania,France,3,9,1,9,1,2,11,10.0,
11,Albania,Poland,14,7,13,20,22,14,6,,5.0
12,Albania,Australia,1,1,2,1,3,1,1,12.0,12.0
13,Albania,Cyprus,25,11,21,25,20,23,12,,
14,Albania,Serbia,15,26,12,15,19,19,26,,
15,Albania,Lithuania,13,18,22,17,23,20,7,,4.0
16,Albania,Croatia,24,19,16,18,18,21,20,,
17,Albania,Russia,7,4,7,5,7,4,4,7.0,7.0
18,Albania,Spain,9,5,4,12,4,5,23,6.0,
19,Albania,Latvia,23,20,17,8,13,17,21,,
20,Albania,Ukraine,17,25,8,2,8,12,5,,6.0
21,Albania,Malta,5,21,5,16,5,9,16,2.0,
22,Albania,Georgia,26,22,26,26,26,26,25,,
23,Albania,Austria,6,23,19,19,14,16,13,,
24,Albania,United Kingdom,2,6,10,10,10,6,18,5.0,
25,Albania,Armenia,12,24,14,3,25,15,9,,2.0
26,Armenia,Belgium,12,6,9,6,6,7,17,4.0,
27,Armenia,Czech Republic,13,14,12,8,9,10,18,1.0,
28,Armenia,The Netherlands,11,12,14,16,10,11,11,,
29,Armenia,Azerbaijan,25,25,25,19,25,25,25,,
30,Armenia,Hungary,23,22,10,22,11,18,8,,3.0
31,Armenia,Italy,14,13,19,25,20,20,14,,
32,Armenia,Israel,20,24,22,17,24,24,24,,
33,Armenia,Bulgaria,4,4,5,5,4,4,15,7.0,
34,Armenia,Sweden,21,8,18,21,18,17,9,,2.0
35,Armenia,Germany,22,23,20,18,15,21,19,,
36,Armenia,France,1,1,1,1,1,1,4,12.0,7.0
37,Armenia,Poland,24,10,24,24,22,23,10,,1.0
38,Armenia,Australia,6,9,6,9,8,6,12,5.0,
39,Armenia,Cyprus,10,3,4,3,5,5,5,6.0,6.0
40,Armenia,Serbia,9,21,11,11,14,12,23,,
41,Armenia,Lithuania,16,15,16,10,19,14,21,,
42,Armenia,Croatia,15,19,17,13,17,15,22,,
43,Armenia,Russia,5,17,7,7,16,9,1,2.0,12.0
44,Armenia,Spain,8,7,8,12,7,8,13,3.0,
45,Armenia,Latvia,17,11,13,15,12,13,16,,
46,Armenia,Ukraine,7,20,21,14,23,16,2,,10.0
47,Armenia,Malta,3,5,3,4,3,3,6,8.0,5.0
48,Armenia,Georgia,2,2,2,2,2,2,3,10.0,8.0
49,Armenia,Austria,18,16,23,20,21,22,7,,4.0
50,Armenia,United Kingdom,19,18,15,23,13,19,20,,
51,Australia,Belgium,1,2,1,1,1,1,1,12.0,12.0
52,Australia,Czech Republic,18,23,4,14,22,16,25,,
53,Australia,The Netherlands,10,14,11,4,10,8,16,3.0,
54,Australia,Azerbaijan,7,20,15,15,11,12,22,,
55,Australia,Hungary,22,6,10,24,23,19,19,,
56,Australia,Italy,11,16,24,16,16,17,23,,
57,Australia,Israel,4,3,3,2,2,2,14,10.0,
58,Australia,Bulgaria,2,1,7,3,3,3,2,8.0,10.0
59,Australia,Sweden,16,21,22,17,25,23,20,,
60,Australia,Germany,19,12,16,12,17,14,21,,
61,Australia,France,5,7,13,7,5,5,4,6.0,7.0
62,Australia,Poland,25,19,14,25,12,22,15,,
63,Australia,Cyprus,23,18,6,20,21,20,13,,
64,Australia,Serbia,8,17,21,13,7,11,17,,
65,Australia,Lithuania,6,4,5,5,4,4,10,7.0,1.0
66,Australia,Croatia,17,8,8,19,13,10,18,1.0,
67,Australia,Russia,24,13,17,22,8,18,6,,5.0
68,Australia,Spain,3,5,18,6,6,6,9,5.0,2.0
69,Australia,Latvia,14,9,25,8,24,15,11,,
70,Australia,Ukraine,13,10,9,9,9,9,3,2.0,8.0
71,Australia,Malta,15,24,19,18,14,21,5,,6.0
72,Australia,Georgia,21,25,20,21,18,25,24,,
73,Australia,Austria,20,15,23,23,20,24,8,,3.0
74,Australia,United Kingdom,9,11,2,11,15,7,7,4.0,4.0
75,Australia,Armenia,12,22,12,10,19,13,12,,
76,Austria,Belgium,1,12,10,6,9,6,14,5.0,
77,Austria,Czech Republic,12,7,7,9,7,7,23,4.0,
78,Austria,The Netherlands,9,11,11,7,16,11,5,,6.0
79,Austria,Azerbaijan,23,17,9,8,5,12,24,,
80,Austria,Hungary,14,16,17,25,19,19,11,,
81,Austria,Italy,22,18,13,11,22,17,13,,
82,Austria,Israel,10,14,12,12,15,13,17,,
83,Austria,Bulgaria,6,10,14,17,20,14,6,,5.0
